domain,analysis_role,oai_column,check_column,mapping_status,note
identifier,participant_id,id,nsin,partial,OAI id is person identifier in derived files; CHECK nsin is participant identifier.
identifier,knee_id,"id + side",knee_id,derived,CHECK knee_id already combines cohort participant and side.
identifier,knee_side,side,side,direct,Both use left/right side labels after processing.
demographic,age,subject_v00age_num,baseline_age,direct,Baseline age in years.
demographic,sex,enrollee_p02sex_num,sex_code,needs_recoding,Confirm code direction in each source before pooled modeling.
anthropometric,bmi,clinical00_p01bmi_num,baseline_bmi,direct,Baseline BMI.
symptom,womac_pain_baseline,baseline_womac_pain_num,baseline_womac_pain,approximate,Scale should be checked before pooling; use within-cohort standardization if needed.
symptom,womac_function_baseline,baseline_womac_function_num,baseline_womac_function,approximate,Scale should be checked before pooling; use within-cohort standardization if needed.
symptom,womac_stiffness_baseline,baseline_womac_stiffness_num,baseline_womac_stiffness,approximate,Scale should be checked before pooling.
symptom,womac_total_baseline,baseline_womac_total_num,baseline_womac_total,approximate,Scale should be checked before pooling.
symptom,knee_pain_flag,baseline_knee_pain_past12m_num,baseline_knee_pain_flag,approximate,OAI is pain in past 12 months; CHECK is side-specific knee pain flag from clinical exam/questionnaire.
radiograph,baseline_kl,baseline_screening_kl_num,kl_t0,approximate,OAI screening KL and CHECK T0 KL are close but acquisition/scoring may differ.
radiograph,baseline_jsn_medial,baseline_screening_jsn_medial_num,jsn_medial_t0,approximate,Scoring definitions need confirmation before numeric pooling.
radiograph,baseline_jsn_lateral,baseline_screening_jsn_lateral_num,jsn_lateral_t0,approximate,Scoring definitions need confirmation before numeric pooling.
outcome,tka_kr_event,outcome_kr_event,tka_through_t8,approximate,OAI KR/TKA outcome and CHECK side-specific TKA are not identical definitions.
outcome,event_time_months,event_month,tka_month,approximate,OAI event_month is derived from OAI outcome timing; CHECK uses annual visit number times 12.
outcome,kl_progression,NA,kl_progression_t0_t5;kl_progression_t0_t8,check_only,Use CHECK for structural progression validation/sensitivity analysis.
longitudinal,womac_pain_trajectory,womac_pain_0m;womac_pain_12m;womac_pain_24m,womac_pain in check_pain_trajectory_long.csv,approximate,CHECK has annual T0-T8 repeated measures; OAI current derived landmark file has 0/12/24 month summaries.
longitudinal,womac_function_trajectory,womac_function_0m;womac_function_12m;womac_function_24m,womac_function in check_pain_trajectory_long.csv,approximate,CHECK annual trajectory can be summarized to match OAI 0/12/24 month windows.
